1000	2000	4000	8000	16000	32000	64000	128000	256000	512000	1024000	2048000
1100	2200	4400	8800	17600	35200	70400	140800	281600	563200	1126400	2252800
1200	2400	4800	9600	19200	38400	76800	153600	307200	614400	1228800	2457600
1300	2600	5200	10400	20800	41600	83200	166400	332800	665600	1331200	2662400
1400	2800	5600	11200	22400	44800	89600	179200	358400	716800	1433600	2867200
1500	3000	6000	12000	24000	48000	96000	192000	384000	768000	1536000	3072000
1600	3200	6400	12800	25600	51200	102400	204800	409600	819200	1638400	3276800
1700	3400	6800	13600	27200	54400	108800	217600	435200	870400	1740800	3481600
1800	3600	7200	14400	28800	57600	115200	230400	460800	921600	1843200	3686400
1900	3800	7600	15200	30400	60800	121600	243200	486400	972800	1945600	3891200
2000	4000	8000	16000	32000	64000	128000	256000	512000	1024000	2048000	4096000
2100	4200	8400	16800	33600	67200	134400	268800	537600	1075200	2150400	4300800
2200	4400	8800	17600	35200	70400	140800	281600	563200	1126400	2252800	4505600
2300	4600	9200	18400	36800	73600	147200	294400	588800	1177600	2355200	4710400
2400	4800	9600	19200	38400	76800	153600	307200	614400	1228800	2457600	4915200
2500	5000	10000	20000	40000	80000	160000	320000	640000	1280000	2560000	5120000
2600	5200	10400	20800	41600	83200	166400	332800	665600	1331200	2662400	5324800
2700	5400	10800	21600	43200	86400	172800	345600	691200	1382400	2764800	5529600
2800	5600	11200	22400	44800	89600	179200	358400	716800	1433600	2867200	5734400
2900	5800	11600	23200	46400	92800	185600	371200	742400	1484800	2969600	5939200
3000	6000	12000	24000	48000	96000	192000	384000	768000	1536000	3072000	6144000
3100	6200	12400	24800	49600	99200	198400	396800	793600	1587200	3174400	6348800
3200	6400	12800	25600	51200	102400	204800	409600	819200	1638400	3276800	6553600
3300	6600	13200	26400	52800	105600	211200	422400	844800	1689600	3379200	6758400
3400	6800	13600	27200	54400	108800	217600	435200	870400	1740800	3481600	6963200
3500	7000	14000	28000	56000	112000	224000	448000	896000	1792000	3584000	7168000
3600	7200	14400	28800	57600	115200	230400	460800	921600	1843200	3686400	7372800
3700	7400	14800	29600	59200	118400	236800	473600	947200	1894400	3788800	7577600
3800	7600	15200	30400	60800	121600	243200	486400	972800	1945600	3891200	7782400
3900	7800	15600	31200	62400	124800	249600	499200	998400	1996800	3993600	7987200
4000	8000	16000	32000	64000	128000	256000	512000	1024000	2048000	4096000	8192000
4100	8200	16400	32800	65600	131200	262400	524800	1049600	2099200	4198400	8396800
4200	8400	16800	33600	67200	134400	268800	537600	1075200	2150400	4300800	8601600
4300	8600	17200	34400	68800	137600	275200	550400	1100800	2201600	4403200	8806400
4400	8800	17600	35200	70400	140800	281600	563200	1126400	2252800	4505600	9011200
4500	9000	18000	36000	72000	144000	288000	576000	1152000	2304000	4608000	9216000
4600	9200	18400	36800	73600	147200	294400	588800	1177600	2355200	4710400	9420800
4700	9400	18800	37600	75200	150400	300800	601600	1203200	2406400	4812800	9625600
4800	9600	19200	38400	76800	153600	307200	614400	1228800	2457600	4915200	9830400
4900	9800	19600	39200	78400	156800	313600	627200	1254400	2508800	5017600	10035200
5000	10000	20000	40000	80000	160000	320000	640000	1280000	2560000	5120000	10240000
5100	10200	20400	40800	81600	163200	326400	652800	1305600	2611200	5222400	10444800
5200	10400	20800	41600	83200	166400	332800	665600	1331200	2662400	5324800	10649600
5300	10600	21200	42400	84800	169600	339200	678400	1356800	2713600	5427200	10854400
5400	10800	21600	43200	86400	172800	345600	691200	1382400	2764800	5529600	11059200
5500	11000	22000	44000	88000	176000	352000	704000	1408000	2816000	5632000	11264000
5600	11200	22400	44800	89600	179200	358400	716800	1433600	2867200	5734400	11468800
5700	11400	22800	45600	91200	182400	364800	729600	1459200	2918400	5836800	11673600
5800	11600	23200	46400	92800	185600	371200	742400	1484800	2969600	5939200	11878400
5900	11800	23600	47200	94400	188800	377600	755200	1510400	3020800	6041600	12083200
